Open Time,Order,Symbol_order,Type_order,Volume_order,Price_order,S / L,T / P,Time_order,State,Comment_order,Time_deal,Deal,Symbol_deal,Type_deal,Direction,Volume_deal,Price_deal,Commission,Swap,Profit,Balance,Comment_deal,rolling_Sharpe_Ratio,rolling_Sortino_Ratio,rolling_Calmar_Ratio,rolling_Stability,rolling_Recovery_Factor,rolling_Omega_Ratio,rolling_Skewness,rolling_Kurtosis,rolling_Tail_Ratio,rolling_Alpha,rolling_Beta,rolling_Common_Sense_Ratio,rolling_Volatility,rolling_Kelly_Criterion,rolling_SQN_System_Quality_Number,rolling_K_Ratio,rolling_R_Squared,rolling_CPC_Index,rolling_VaR_Value_at_Risk,rolling_CVaR_Conditional_Value_at_Risk,rolling_Return_Standard_Deviation,rolling_AHPR_Average_Holding_Period_Return,rolling_GHPR_Geometric_Holding_Period_Return,rolling_Drawdown_Duration,rolling_Max_Drawdown_Duration,rolling_TWR_Time_Weighted_Return,rolling_MWR_Money_Weighted_Return,rolling_Ulcer_Index,rolling_MAE_Max_Adverse_Excursion,rolling_MFE_Max_Favorable_Excursion,rolling_MAR_Ratio,rolling_Information_Ratio,rolling_Treynor_Ratio,rolling_Tracking_Error,rolling_Active_Share
2024.01.10 01:15:31,12.0,XAUUSDc,sell,4.1 / 4.1,0.0,2028.842,2022.686,2024.01.10 01:15:31,filled,Range Breakout Sell,2024-01-10 01:15:31,12.0,XAUUSDc,sell,in,4.1,2027.327,0,0.0,0.0,93.7,Range Breakout Sell,-0.043864904852511516,-0.12231646028285499,-4.2475704385693165,0.26302616864883155,-0.2821316614420063,0.7178683385579938,1.8278196796665314,3.317840355802902,1.310583661441155,,,0.9408265155800142,0.07720678800157196,-0.22568479555379115,-0.3031972454881396,-1.8353648806867489,,0.18739452781964164,-0.07873819813630291,-0.10114570072908229,0.07720678800157196,0.996613331590343,0.9941018268556968,691917.0,691917.0,-0.06299999999999994,,0.12258470170012689,,,-4.2475704385693165,,,,
2024.01.10 01:21:30,13.0,XAUUSDc,buy,4.1 / 4.1,0.0,,,2024.01.10 01:21:30,filled,sl 2028.842,2024-01-10 01:21:30,13.0,XAUUSDc,buy,out,4.1,2029.097,0,0.0,-7.26,86.44,sl 2028.842,-0.12472526088544456,-0.380963997696784,-4.472416124192581,0.2586178309867274,-0.607254814151366,0.5417370733355864,1.8577891151204207,3.5300219668580057,1.0538226193698224,,,0.5708947816322492,0.07665827212558514,-0.25508421709295065,-0.6235555744887956,-1.9323374406301261,,0.1222829402609194,-0.08813029318294295,-0.10114570072908229,0.07665827212558514,0.990438777010109,0.9879301278555135,692276.0,692276.0,-0.13559999999999994,,0.12372161627352486,,,-4.472416124192581,,,,
2024.01.11 00:06:32,14.0,XAUUSDc,buy,10.45 / 10.45,0.0,2027.239,2029.471,2024.01.11 00:06:32,filled,Range Breakout Buy,2024-01-11 00:06:32,14.0,XAUUSDc,buy,in,10.45,2027.719,0,0.0,0.0,86.44,Range Breakout Buy,-0.12017200557013087,-0.3516590747970314,-4.466444517267968,0.2526495298110524,-0.607254814151366,0.5417370733355864,1.8987885192021574,3.9759647002294463,0.9494787197532544,,,0.5143678228335474,0.07344259802013821,-0.26386102979989434,-0.6248830785543626,-2.0104055280974946,,0.11287656024084869,-0.0869470743151121,-0.10114570072908229,0.07344259802013821,0.9911742557016391,0.9888533848723506,774178.0,774178.0,-0.13559999999999994,,0.12467552347532436,,,-4.466444517267968,,,,
2024.01.11 00:09:30,15.0,XAUUSDc,sell,10.45 / 10.45,0.0,,,2024.01.11 00:09:30,filled,sl 2027.239,2024-01-11 00:09:30,15.0,XAUUSDc,sell,out,10.45,2027.047,0,0.0,-7.02,79.42,sl 2027.239,-0.1912955380880236,-0.5957156514354158,-4.477903887771873,0.344189416591043,-0.9216300940438872,0.43785850860420655,1.9105677189689594,4.106325067988355,0.8190936631555042,,,0.35864712975642543,0.07316542750815813,-0.28202328966521106,-0.9168608420693183,-2.5865531943396562,,0.08216574581018571,-0.08818905633801082,-0.10114570072908229,0.07316542750815813,0.9860037801753866,0.983676133633858,774356.0,774356.0,-0.20579999999999987,,0.13213236328988984,,,-4.477903887771873,,,,
2024.01.16 00:27:33,17.0,XAUUSDc,sell,4.23 / 4.23,0.0,2053.648,2048.581,2024.01.16 00:27:33,filled,Range Breakout Sell,2024-01-16 00:27:33,16.0,XAUUSDc,sell,in,4.23,2052.819,0,0.0,0.0,79.42,Range Breakout Sell,-0.18503939698016142,-0.5560012746730547,-4.46737922370327,0.41422577687049994,-0.9216300940438872,0.43785850860420655,1.9293879792971824,4.467480701034602,0.7101055106054796,,,0.3109257398253439,0.07059652547599382,-0.2885977680737506,-0.9172338160237133,-3.1042296252694817,,0.07668802942284,-0.08719239138485148,-0.10114570072908229,0.07059652547599382,0.9869368614970274,0.9847560527307643,1207439.0,1207439.0,-0.20579999999999987,,0.13827004978181887,,,-4.46737922370327,,,,
2024.01.16 05:22:30,18.0,XAUUSDc,buy,4.23 / 4.23,0.0,,,2024.01.16 05:22:30,filled,tp 2048.581,2024-01-16 05:22:30,17.0,XAUUSDc,buy,out,4.23,2048.564,0,0.0,18.0,97.42,tp 2048.581,0.021131263979242934,0.08165659519042145,-2.193182706474663,0.1796283264936111,-0.11553963278101202,0.9295274515159793,1.5957288123209352,1.7291683001078058,2.453141164875665,,,2.2802620551958177,0.09078989967429468,-0.18877950827701045,-0.08714738554607672,-1.7643897638810646,,0.3240079811706717,-0.08619572643169213,-0.10114570072908229,0.09078989967429468,1.0019185053366666,0.9983676676054826,1225136.0,1225136.0,-0.025799999999999823,,0.13403468301152505,,,-2.193182706474663,,,,
2024.01.17 00:12:31,19.0,XAUUSDc,sell,6.58 / 6.58,0.0,2026.439,2022.443,2024.01.17 00:12:31,filled,Range Breakout Sell,2024-01-17 00:12:31,18.0,XAUUSDc,sell,in,6.58,2025.938,0,0.0,0.0,97.42,Range Breakout Sell,0.020540206934791694,0.07685326606157314,-2.111118609798967,0.06576904903093576,-0.11553963278101202,0.9295274515159793,1.6487396368218556,2.033176204756381,2.469950050485958,,,2.295886375799977,0.08790817382224125,-0.19876925204404414,-0.0873167953049404,-1.0228035899435304,,0.3049486881606322,-0.08519906147853279,-0.10114570072908229,0.08790817382224125,1.0018056520815686,0.9984636133575363,1292937.0,1292937.0,-0.025799999999999823,,0.1301832147850279,,,-2.111118609798967,,,,
2024.01.17 00:20:30,20.0,XAUUSDc,buy,6.58 / 6.58,0.0,,,2024.01.17 00:20:30,filled,sl 2026.439,2024-01-17 00:20:30,19.0,XAUUSDc,buy,out,6.58,2026.751,0,0.0,-5.35,92.07,sl 2026.439,-0.015587575935366837,-0.06135054242744267,-3.8809126147122686,0.03747495397097002,-0.3551276309896999,0.8110104861773118,1.7314353312637687,2.3399458413721677,2.4871568541575115,,,2.0171102894895165,0.08632505204084798,-0.20203928373190788,-0.2647661132649683,-0.7964806094098716,,0.2557870033792731,-0.08420239652537344,-0.10114570072908229,0.08632505204084798,0.9986544016961889,0.9954204610637449,1293416.0,1293416.0,-0.07929999999999982,,0.12788859518259546,,,-3.8809126147122686,,,,
2024.01.19 00:21:31,22.0,XAUUSDc,buy,3.5 / 3.5,0.0,2023.458,2030.559,2024.01.19 00:21:31,filled,Range Breakout Buy,2024-01-19 00:21:31,20.0,XAUUSDc,buy,in,3.5,2024.023,0,0.0,0.0,92.07,Range Breakout Buy,-0.0151951971069291,-0.05812156651020885,-3.7207830559202906,0.019728899703928573,-0.3551276309896999,0.8110104861773118,1.7762428757589175,2.630290137262442,2.5047758750610103,,,2.0313995001984315,0.08389343892560767,-0.2099474369143547,-0.26514688017575,-0.6019655840184351,,0.24232452951720612,-0.0832057315722141,-0.10114570072908229,0.08389343892560767,0.9987252226595474,0.9956609657346284,1466277.0,1466277.0,-0.07929999999999982,,0.12580004183749618,,,-3.7207830559202906,,,,
2024.01.19 00:36:30,23.0,XAUUSDc,sell,3.5 / 3.5,0.0,,,2024.01.19 00:36:30,filled,sl 2023.458,2024-01-19 00:36:30,21.0,XAUUSDc,sell,out,3.5,2023.446,0,0.0,-2.02,90.05,sl 2023.458,-0.028220175538510344,-0.09069755004717078,-4.007554335959598,0.01428993668862375,-0.44558889386475586,0.7737608003638017,1.851684089183463,2.9840664452148085,2.522822105793442,,,1.9520608517542253,0.08178651794183663,-0.19078754040552456,-0.33267059483329436,-0.5404429101028113,,0.23948231047185242,-0.08220906661905475,-0.10114570072908229,0.08178651794183663,0.997691970106998,0.9947734504699287,1467176.0,1467176.0,-0.09949999999999981,,0.1246169350449609,,,-4.007554335959598,,,,
