6_layer_output_4_layer_output_rolling_profitable_trade,6_layer_output_4_layer_output_rolling_unprofitable_trade,6_layer_output_4_layer_output_rolling_winrate,6_layer_output_4_layer_output_rolling_gross_profit,6_layer_output_4_layer_output_rolling_gross_loss,6_layer_output_4_layer_output_rolling_net,6_layer_output_4_layer_output_rolling_profit_factor,6_layer_output_4_layer_output_rolling_balance_drawdown_absolute,6_layer_output_4_layer_output_rolling_balance_drawdown_maximal,6_layer_output_4_layer_output_rolling_balance_drawdown_relative,6_layer_output_4_layer_output_rolling_total_deals,6_layer_output_4_layer_output_rolling_win_count,6_layer_output_4_layer_output_rolling_lose_count,6_layer_output_4_layer_output_rolling_total_trades,6_layer_output_4_layer_output_rolling_average_profit,6_layer_output_4_layer_output_rolling_average_loss,6_layer_output_4_layer_output_rolling_expected_payoff,6_layer_output_4_layer_output_rolling_LR_correlation,6_layer_output_4_layer_output_rolling_long_trades_won,6_layer_output_4_layer_output_rolling_short_trades_won,6_layer_output_4_layer_output_rolling_largest_profit_trade,6_layer_output_4_layer_output_rolling_largest_loss_trade,6_layer_output_4_layer_output_rolling_maximum_consecutive_wins,6_layer_output_4_layer_output_rolling_maximum_consecutive_loses,6_layer_output_4_layer_output_rolling_maximal_consecutive_profit,6_layer_output_4_layer_output_rolling_maximal_consecutive_loss,6_layer_output_4_layer_output_rolling_average_consecutive_wins,6_layer_output_4_layer_output_rolling_average_consecutive_loses,6_layer_output_5_layer_output_rolling_Expectancy_Expectancy,6_layer_output_5_layer_output_rolling_GPR_GainToPainRatio,6_layer_output_5_layer_output_rolling_CAGR_CompoundAnnualGrowthRate,6_layer_output_5_layer_output_rolling_Martin_MartinRatio,6_layer_output_5_layer_output_rolling_Sterling_SterlingRatio,6_layer_output_5_layer_output_rolling_Burke_BurkeRatio,6_layer_output_5_layer_output_rolling_RoR_RiskOfRuin,6_layer_output_5_layer_output_rolling_DSR_DeflatedSharpeRatio,6_layer_output_5_layer_output_rolling_PainIndex_PainIndex,6_layer_output_5_layer_output_rolling_PainRatio_PainRatio,6_layer_output_5_layer_output_rolling_Lake_LakeRatio,6_layer_output_5_layer_output_rolling_OWLR_OutlierWinLossRatio,6_layer_output_5_layer_output_rolling_PI_ProfitabilityIndex,8_layer_output_7_layer_output_rolling_Sharpe_Ratio,8_layer_output_7_layer_output_rolling_Sortino_Ratio,8_layer_output_7_layer_output_rolling_Calmar_Ratio,8_layer_output_7_layer_output_rolling_Stability,8_layer_output_7_layer_output_rolling_Recovery_Factor,8_layer_output_7_layer_output_rolling_Omega_Ratio,8_layer_output_7_layer_output_rolling_Skewness,8_layer_output_7_layer_output_rolling_Kurtosis,8_layer_output_7_layer_output_rolling_Tail_Ratio,8_layer_output_7_layer_output_rolling_Alpha,8_layer_output_7_layer_output_rolling_Beta,8_layer_output_7_layer_output_rolling_Common_Sense_Ratio,8_layer_output_7_layer_output_rolling_Volatility,8_layer_output_7_layer_output_rolling_Kelly_Criterion,8_layer_output_7_layer_output_rolling_SQN_System_Quality_Number,8_layer_output_7_layer_output_rolling_K_Ratio,8_layer_output_7_layer_output_rolling_R_Squared,8_layer_output_7_layer_output_rolling_CPC_Index,8_layer_output_7_layer_output_rolling_VaR_Value_at_Risk,8_layer_output_7_layer_output_rolling_CVaR_Conditional_Value_at_Risk,8_layer_output_7_layer_output_rolling_Return_Standard_Deviation,8_layer_output_7_layer_output_rolling_AHPR_Average_Holding_Period_Return,8_layer_output_7_layer_output_rolling_GHPR_Geometric_Holding_Period_Return,8_layer_output_7_layer_output_rolling_Drawdown_Duration,8_layer_output_7_layer_output_rolling_Max_Drawdown_Duration,8_layer_output_7_layer_output_rolling_TWR_Time_Weighted_Return,8_layer_output_7_layer_output_rolling_MWR_Money_Weighted_Return,8_layer_output_7_layer_output_rolling_Ulcer_Index,8_layer_output_7_layer_output_rolling_MAE_Max_Adverse_Excursion,8_layer_output_7_layer_output_rolling_MFE_Max_Favorable_Excursion,8_layer_output_7_layer_output_rolling_MAR_Ratio,8_layer_output_7_layer_output_rolling_Information_Ratio,8_layer_output_7_layer_output_rolling_Treynor_Ratio,8_layer_output_7_layer_output_rolling_Tracking_Error,8_layer_output_7_layer_output_rolling_Active_Share
1,4,0.2,16.03,-22.33,-6.299999999999997,0.7178683385579938,22.33,22.33,22.33,11,1,4,5,16.03,-5.5825,-1.2599999999999991,-0.5218705296817017,0,1,16.03,-8.74,1.0,4.0,16.03,-22.33,1.0,4.0,-0.5727272727272724,0.7178683385579938,-0.9485870250247338,-7.738217019487612,-4.248038625278701,-2.3331602181802444,1.0,0.4473296781283873,0.1009999999999999,-9.391950742819148,-17.634920634920643,1.834096109839817,0.7178683385579938,-0.0438649048525115,-0.1223164602828549,-4.2475704385693165,0.2630261686488315,-0.2821316614420063,0.7178683385579938,1.827819679666532,3.317840355802902,1.310583661441155,,,0.9408265155800142,0.0772067880015719,-0.2256847955537911,-0.3031972454881396,-1.8353648806867489,,0.1873945278196416,-0.0787381981363029,-0.1011457007290822,0.0772067880015719,0.996613331590343,0.9941018268556968,691917.0,691917.0,-0.0629999999999999,,0.1225847017001268,,,-4.2475704385693165,,,,
1,5,0.1666666666666666,16.03,-29.59,-13.559999999999995,0.5417370733355864,22.33,22.33,22.33,12,1,5,6,16.03,-5.917999999999999,-2.26,-0.5214174794138561,0,1,16.03,-8.74,1.0,4.0,16.03,-22.33,1.0,2.5,-1.1299999999999997,0.5417370733355864,-0.9986964607775154,-8.072125881136149,-4.47244272627638,-2.33022202520325,1.0,0.3583036504568924,0.1038833333333333,-9.613635110965976,-9.19321533923304,1.834096109839817,0.5417370733355864,-0.1247252608854445,-0.380963997696784,-4.472416124192581,0.2586178309867274,-0.607254814151366,0.5417370733355864,1.8577891151204209,3.5300219668580057,1.0538226193698224,,,0.5708947816322492,0.0766582721255851,-0.2550842170929506,-0.6235555744887956,-1.932337440630126,,0.1222829402609194,-0.0881302931829429,-0.1011457007290822,0.0766582721255851,0.990438777010109,0.9879301278555136,692276.0,692276.0,-0.1355999999999999,,0.1237216162735248,,,-4.472416124192581,,,,
1,5,0.1666666666666666,16.03,-29.59,-13.559999999999995,0.5417370733355864,22.33,22.33,22.33,13,1,5,6,16.03,-5.917999999999999,-2.26,-0.5183639251816985,0,1,16.03,-8.74,1.0,4.0,16.03,-22.33,1.0,2.5,-1.0430769230769228,0.5417370733355864,-0.9973677841847488,-7.999708013114112,-4.46649254001231,-2.218719802309468,1.0,0.3570196995643435,0.1063230769230769,-9.380539136450396,-10.19321533923304,1.834096109839817,0.5417370733355864,-0.1201720055701308,-0.3516590747970314,-4.466444517267968,0.2526495298110524,-0.607254814151366,0.5417370733355864,1.8987885192021567,3.9759647002294463,0.9494787197532544,,,0.5143678228335474,0.0734425980201382,-0.2638610297998943,-0.6248830785543626,-2.0104055280974946,,0.1128765602408486,-0.0869470743151121,-0.1011457007290822,0.0734425980201382,0.9911742557016392,0.9888533848723506,774178.0,774178.0,-0.1355999999999999,,0.1246755234753243,,,-4.466444517267968,,,,
1,6,0.1428571428571428,16.03,-36.61,-20.58,0.4378585086042065,22.33,22.33,22.33,14,1,6,7,16.03,-6.101666666666667,-2.94,-0.5982927950367906,0,1,16.03,-8.74,1.0,4.0,16.03,-22.33,1.0,3.0,-1.47,0.4378585086042065,-0.9999164767033616,-7.5675364597060115,-4.477906299612009,-2.02250919243858,1.0,0.2860269407563566,0.1134285714285714,-8.815384555319309,-7.716229348882411,1.834096109839817,0.4378585086042065,-0.1912955380880236,-0.5957156514354158,-4.477903887771873,0.344189416591043,-0.9216300940438872,0.4378585086042065,1.91056771896896,4.106325067988355,0.8190936631555042,,,0.3586471297564254,0.0731654275081581,-0.282023289665211,-0.9168608420693184,-2.586553194339656,,0.0821657458101857,-0.0881890563380108,-0.1011457007290822,0.0731654275081581,0.9860037801753866,0.983676133633858,774356.0,774356.0,-0.2057999999999998,,0.1321323632898898,,,-4.477903887771873,,,,
1,6,0.1428571428571428,16.03,-36.61,-20.58,0.4378585086042065,22.33,22.33,22.33,15,1,6,7,16.03,-6.101666666666667,-2.94,-0.6524566761442007,0,1,16.03,-8.74,1.0,4.0,16.03,-22.33,1.0,3.0,-1.372,0.4378585086042065,-0.9975757938689312,-7.214691796546258,-4.467424065691587,-1.862825411736195,1.0,0.2842876987027213,0.1195866666666666,-8.341864705114265,-8.716229348882411,1.834096109839817,0.4378585086042065,-0.1850393969801614,-0.5560012746730547,-4.46737922370327,0.4142257768704999,-0.9216300940438872,0.4378585086042065,1.9293879792971824,4.467480701034602,0.7101055106054796,,,0.3109257398253439,0.0705965254759938,-0.2885977680737506,-0.9172338160237132,-3.1042296252694817,,0.07668802942284,-0.0871923913848514,-0.1011457007290822,0.0705965254759938,0.9869368614970274,0.9847560527307644,1207439.0,1207439.0,-0.2057999999999998,,0.1382700497818188,,,-4.46737922370327,,,,
2,6,0.25,34.03,-36.61,-2.5799999999999983,0.9295274515159792,22.33,22.33,22.33,16,2,6,8,17.015,-6.101666666666667,-0.3224999999999998,-0.4265113084092379,1,1,18.0,-8.74,1.0,4.0,18.0,-22.33,1.0,3.0,-0.1612499999999999,0.9295274515159792,-0.4899727948464486,-3.655567229597716,-2.1942355344668547,-0.9138918073994288,0.6278222940591633,0.5332285804591907,0.1137249999999999,-4.308400042615508,-70.52713178294577,2.059496567505721,0.9295274515159792,0.0211312639792429,0.0816565951904214,-2.193182706474663,0.1796283264936111,-0.115539632781012,0.9295274515159792,1.5957288123209352,1.7291683001078058,2.453141164875665,,,2.2802620551958177,0.0907898996742946,-0.1887795082770104,-0.0871473855460767,-1.7643897638810646,,0.3240079811706717,-0.0861957264316921,-0.1011457007290822,0.0907898996742946,1.0019185053366666,0.9983676676054826,1225136.0,1225136.0,-0.0257999999999998,,0.134034683011525,,,-2.193182706474663,,,,
2,6,0.25,34.03,-36.61,-2.5799999999999983,0.9295274515159792,22.33,22.33,22.33,17,2,6,8,17.015,-6.101666666666667,-0.3224999999999998,-0.2553331062175311,1,1,18.0,-8.74,1.0,4.0,18.0,-22.33,1.0,3.0,-0.1517647058823528,0.9295274515159792,-0.4716435567114698,-3.622921414948132,-2.1121520676733985,-0.878687509831961,0.6266854657581452,0.5333566916169826,0.1085529411764705,-4.344825221683639,-71.52713178294579,2.059496567505721,0.9295274515159792,0.0205402069347916,0.0768532660615731,-2.111118609798967,0.0657690490309357,-0.115539632781012,0.9295274515159792,1.6487396368218556,2.033176204756381,2.469950050485958,,,2.295886375799977,0.0879081738222412,-0.1987692520440441,-0.0873167953049404,-1.0228035899435304,,0.3049486881606322,-0.0851990614785327,-0.1011457007290822,0.0879081738222412,1.0018056520815686,0.9984636133575364,1292937.0,1292937.0,-0.0257999999999998,,0.1301832147850279,,,-2.111118609798967,,,,
2,7,0.2222222222222222,34.03,-41.96,-7.929999999999998,0.8110104861773118,22.33,22.33,22.33,18,2,7,9,17.015,-5.994285714285715,-0.8811111111111108,-0.1952863463766619,1,1,18.0,-8.74,1.0,4.0,18.0,-22.33,1.0,2.333333333333333,-0.4405555555555554,0.8110104861773118,-0.86679171027925,-6.777709216694976,-3.881736275321317,-1.597521382678527,1.0,0.4747514287308287,0.1069277777777777,-8.106328666818985,-24.271122320302656,2.059496567505721,0.8110104861773118,-0.0155875759353668,-0.0613505424274426,-3.880912614712269,0.03747495397097,-0.3551276309896999,0.8110104861773118,1.7314353312637687,2.339945841372168,2.4871568541575115,,,2.0171102894895165,0.0863250520408479,-0.2020392837319078,-0.2647661132649683,-0.7964806094098716,,0.2557870033792731,-0.0842023965253734,-0.1011457007290822,0.0863250520408479,0.9986544016961888,0.9954204610637448,1293416.0,1293416.0,-0.0792999999999998,,0.1278885951825954,,,-3.880912614712269,,,,
2,7,0.2222222222222222,34.03,-41.96,-7.929999999999998,0.8110104861773118,22.33,22.33,22.33,19,2,7,9,17.015,-5.994285714285715,-0.8811111111111108,-0.1444665334166824,1,1,18.0,-8.74,1.0,4.0,18.0,-22.33,1.0,2.333333333333333,-0.4173684210526314,0.8110104861773118,-0.8310566035548513,-6.606171122171639,-3.72170444941716,-1.515559596067519,1.0,0.4746717530166752,0.1054736842105263,-7.879279175420247,-25.271122320302656,2.059496567505721,0.8110104861773118,-0.0151951971069291,-0.0581215665102088,-3.7207830559202906,0.0197288997039285,-0.3551276309896999,0.8110104861773118,1.7762428757589177,2.630290137262442,2.5047758750610103,,,2.0313995001984315,0.0838934389256076,-0.2099474369143547,-0.26514688017575,-0.6019655840184351,,0.2423245295172061,-0.0832057315722141,-0.1011457007290822,0.0838934389256076,0.9987252226595474,0.9956609657346284,1466277.0,1466277.0,-0.0792999999999998,,0.1258000418374961,,,-3.7207830559202906,,,,
2,8,0.2,34.03,-43.98,-9.949999999999998,0.7737608003638017,22.33,22.33,22.33,20,2,8,10,17.015,-5.4975000000000005,-0.9949999999999998,-0.126362524903591,1,1,18.0,-8.74,1.0,4.0,18.0,-22.33,1.0,2.6666666666666665,-0.4974999999999999,0.7737608003638018,-0.8950489432520584,-7.182402158495804,-4.008280086216115,-1.6060339468137834,1.0,0.4524004700068534,0.1051749999999999,-8.510092163081136,-21.140703517587948,2.059496567505721,0.7737608003638018,-0.0282201755385103,-0.0906975500471707,-4.007554335959598,0.0142899366886237,-0.4455888938647558,0.7737608003638017,1.851684089183463,2.9840664452148085,2.522822105793442,,,1.9520608517542253,0.0817865179418366,-0.1907875404055245,-0.3326705948332943,-0.5404429101028113,,0.2394823104718524,-0.0822090666190547,-0.1011457007290822,0.0817865179418366,0.997691970106998,0.9947734504699288,1467176.0,1467176.0,-0.0994999999999998,,0.1246169350449609,,,-4.007554335959598,,,,
