Open Time,Order,Symbol_order,Type_order,Volume_order,Price_order,S / L,T / P,Time_order,State,Comment_order,Time_deal,Deal,Symbol_deal,Type_deal,Direction,Volume_deal,Price_deal,Commission,Swap,Profit,Balance,Comment_deal,Profitable Trade,Unprofitable Trade,rolling_profitable_trade,rolling_unprofitable_trade,rolling_winrate,rolling_gross_profit,rolling_gross_loss,rolling_net,rolling_profit_factor,rolling_balance_drawdown_absolute,rolling_balance_drawdown_maximal,rolling_balance_drawdown_relative,rolling_total_deals,rolling_win_count,rolling_lose_count,rolling_total_trades,rolling_average_profit,rolling_average_loss,rolling_expected_payoff,rolling_LR_correlation,rolling_long_trades_won,rolling_short_trades_won,rolling_largest_profit_trade,rolling_largest_loss_trade,rolling_maximum_consecutive_wins,rolling_maximum_consecutive_loses,rolling_maximal_consecutive_profit,rolling_maximal_consecutive_loss,rolling_average_consecutive_wins,rolling_average_consecutive_loses
2024.01.02 01:03:34,2.0,XAUUSDc,buy,2.03 / 2.03,0.0,2065.053,2078.319,2024.01.02 01:03:34,filled,Range Breakout Buy,2024.01.02 01:03:34,2.0,XAUUSDc,buy,in,2.03,2066.368,0,0.0,0.0,100.0,Range Breakout Buy,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.01.02 02:07:30,3.0,XAUUSDc,sell,2.03 / 2.03,0.0,,,2024.01.02 02:07:30,filled,sl 2065.053,2024.01.02 02:07:30,3.0,XAUUSDc,sell,out,2.03,2064.418,0,0.0,-3.96,96.04,sl 2065.053,0,1,0,1,0.0,0.0,-3.96,-3.96,0.0,3.9599999999999937,3.9599999999999937,3.959999999999994,2,0,1,1,0.0,-3.96,-3.96,-1.0,0,0,0.0,-3.96,0.0,1.0,0.0,-3.96,0.0,1.0
2024.01.03 00:12:34,4.0,XAUUSDc,buy,7.42 / 7.42,0.0,2059.922,2063.414,2024.01.03 00:12:34,filled,Range Breakout Buy,2024.01.03 00:12:34,4.0,XAUUSDc,buy,in,7.42,2060.626,0,0.0,0.0,96.04,Range Breakout Buy,0,0,0,1,0.0,0.0,-3.96,-3.96,0.0,3.9599999999999937,3.9599999999999937,3.959999999999994,3,0,1,1,0.0,-3.96,-3.96,-0.8660254037844386,0,0,0.0,-3.96,0.0,1.0,0.0,-3.96,0.0,1.0
2024.01.03 01:16:30,5.0,XAUUSDc,sell,7.42 / 7.42,0.0,,,2024.01.03 01:16:30,filled,sl 2059.922,2024.01.03 01:16:30,5.0,XAUUSDc,sell,out,7.42,2059.897,0,0.0,-5.41,90.63,sl 2059.922,0,1,0,2,0.0,0.0,-9.370000000000001,-9.370000000000001,0.0,9.370000000000005,9.370000000000005,9.370000000000005,4,0,2,2,0.0,-4.6850000000000005,-4.6850000000000005,-0.9430541942422691,0,0,0.0,-5.41,0.0,2.0,0.0,-9.370000000000001,0.0,2.0
2024.01.04 00:54:34,6.0,XAUUSDc,sell,7.95 / 7.95,0.0,2042.059,2038.981,2024.01.04 00:54:34,filled,Range Breakout Sell,2024.01.04 00:54:34,6.0,XAUUSDc,sell,in,7.95,2041.821,0,0.0,0.0,90.63,Range Breakout Sell,0,0,0,2,0.0,0.0,-9.370000000000001,-9.370000000000001,0.0,9.370000000000005,9.370000000000005,9.370000000000005,5,0,2,2,0.0,-4.6850000000000005,-4.6850000000000005,-0.9486585580781649,0,0,0.0,-5.41,0.0,2.0,0.0,-9.370000000000001,0.0,2.0
2024.01.04 00:55:30,7.0,XAUUSDc,buy,7.95 / 7.95,0.0,,,2024.01.04 00:55:30,filled,sl 2042.059,2024.01.04 00:55:30,7.0,XAUUSDc,buy,out,7.95,2042.352,0,0.0,-4.22,86.41,sl 2042.059,0,1,0,3,0.0,0.0,-13.59,-13.59,0.0,13.590000000000003,13.590000000000003,13.590000000000002,6,0,3,3,0.0,-4.53,-4.53,-0.9709163222952536,0,0,0.0,-5.41,0.0,3.0,0.0,-13.59,0.0,3.0
2024.01.05 00:48:32,8.0,XAUUSDc,buy,17.51 / 17.51,0.0,2044.323,2045.655,2024.01.05 00:48:32,filled,Range Breakout Buy,2024.01.05 00:48:32,8.0,XAUUSDc,buy,in,17.51,2044.807,0,0.0,0.0,86.41,Range Breakout Buy,0,0,0,3,0.0,0.0,-13.59,-13.59,0.0,13.590000000000003,13.590000000000003,13.590000000000002,7,0,3,3,0.0,-4.53,-4.53,-0.970963997992879,0,0,0.0,-5.41,0.0,3.0,0.0,-13.59,0.0,3.0
2024.01.05 00:51:30,9.0,XAUUSDc,sell,17.51 / 17.51,0.0,,,2024.01.05 00:51:30,filled,sl 2044.323,2024.01.05 00:51:30,9.0,XAUUSDc,sell,out,17.51,2044.308,0,0.0,-8.74,77.67,sl 2044.323,0,1,0,4,0.0,0.0,-22.33,-22.33,0.0,22.33,22.33,22.33,8,0,4,4,0.0,-5.5825,-5.5825,-0.9626926576841001,0,0,0.0,-8.74,0.0,4.0,0.0,-22.33,0.0,4.0
2024.01.09 00:03:31,10.0,XAUUSDc,buy,7.37 / 7.37,0.0,2031.095,2033.939,2024.01.09 00:03:31,filled,Range Breakout Buy,2024.01.09 00:03:31,10.0,XAUUSDc,buy,in,7.37,2031.796,0,0.0,0.0,77.67,Range Breakout Buy,0,0,0,4,0.0,0.0,-22.33,-22.33,0.0,22.33,22.33,22.33,9,0,4,4,0.0,-5.5825,-5.5825,-0.9737588154496669,0,0,0.0,-8.74,0.0,4.0,0.0,-22.33,0.0,4.0
2024.01.09 00:19:30,11.0,XAUUSDc,sell,7.37 / 7.37,0.0,,,2024.01.09 00:19:30,filled,tp 2033.939,2024.01.09 00:19:30,11.0,XAUUSDc,sell,out,7.37,2033.971,0,0.0,16.03,93.7,tp 2033.939,1,0,1,4,0.2,16.03,-22.33,-6.299999999999997,0.7178683385579938,22.33,22.33,22.33,10,1,4,5,16.03,-5.5825,-1.2599999999999993,-0.7132240625347811,0,1,16.03,-8.74,1.0,4.0,16.03,-22.33,1.0,4.0
