Open Time,Order,Symbol_order,Type_order,Volume_order,Price_order,S / L,T / P,Time_order,State,Comment_order,Time_deal,Deal,Symbol_deal,Type_deal,Direction,Volume_deal,Price_deal,Commission,Swap,Profit,Balance,Comment_deal,rolling_Expectancy_Expectancy,rolling_GPR_GainToPainRatio,rolling_CAGR_CompoundAnnualGrowthRate,rolling_Martin_MartinRatio,rolling_Sterling_SterlingRatio,rolling_Burke_BurkeRatio,rolling_RoR_RiskOfRuin,rolling_DSR_DeflatedSharpeRatio,rolling_PainIndex_PainIndex,rolling_PainRatio_PainRatio,rolling_Lake_LakeRatio,rolling_OWLR_OutlierWinLossRatio,rolling_PI_ProfitabilityIndex
2024.01.02 01:03:34,2.0,XAUUSDc,buy,2.03 / 2.03,0.0,2065.053,2078.319,2024.01.02 01:03:34,filled,Range Breakout Buy,2024-01-02 01:03:34,2.0,XAUUSDc,buy,in,2.03,2066.368,0,0.0,0.0,100.0,Range Breakout Buy,0.0,,0.0,,,,,,0.0,,,,
2024.01.02 02:07:30,3.0,XAUUSDc,sell,2.03 / 2.03,0.0,,,2024.01.02 02:07:30,filled,sl 2065.053,2024-01-02 02:07:30,3.0,XAUUSDc,sell,out,2.03,2064.418,0,0.0,-3.96,96.04,sl 2065.053,-1.98,0.0,-1.0,-35.712463696290335,-25.25252525252529,-25.25252525252529,1.0,0.26354462843276905,0.01979999999999997,-50.50505050505058,-0.9999999999999984,0.0,0.0
2024.01.03 00:12:34,4.0,XAUUSDc,buy,7.42 / 7.42,0.0,2059.922,2063.414,2024.01.03 00:12:34,filled,Range Breakout Buy,2024-01-03 00:12:34,4.0,XAUUSDc,buy,in,7.42,2060.626,0,0.0,0.0,96.04,Range Breakout Buy,-1.32,0.0,-0.9999997733708733,-30.92789378355379,-25.252519529567547,-17.856227801402937,1.0,0.022750131948179552,0.02639999999999996,-37.87877929435132,-1.999999999999997,0.0,0.0
2024.01.03 01:16:30,5.0,XAUUSDc,sell,7.42 / 7.42,0.0,,,2024.01.03 01:16:30,filled,sl 2059.922,2024-01-03 01:16:30,5.0,XAUUSDc,sell,out,7.42,2059.897,0,0.0,-5.41,90.63,sl 2059.922,-2.3425000000000002,0.0,-0.9999999999999997,-18.32164930980997,-10.672358591248656,-9.160824654904985,1.0,0.006299642315009654,0.043224999999999986,-23.13475997686524,-1.8452508004268933,0.0,0.0
2024.01.04 00:54:34,6.0,XAUUSDc,sell,7.95 / 7.95,0.0,2042.059,2038.981,2024.01.04 00:54:34,filled,Range Breakout Sell,2024-01-04 00:54:34,6.0,XAUUSDc,sell,in,7.95,2041.821,0,0.0,0.0,90.63,Range Breakout Sell,-1.874,0.0,-0.9999999851292152,-15.543361063802957,-10.672358432542312,-6.951202387497372,1.0,0.012262752578941832,0.05331999999999999,-18.754688393271106,-2.8452508004268937,0.0,0.0
2024.01.04 00:55:30,7.0,XAUUSDc,buy,7.95 / 7.95,0.0,,,2024.01.04 00:55:30,filled,sl 2042.059,2024-01-04 00:55:30,7.0,XAUUSDc,buy,out,7.95,2042.352,0,0.0,-4.22,86.41,sl 2042.059,-2.265,0.0,-0.9999999999975875,-12.377395733172792,-7.358351729194903,-5.053050648462504,1.0,0.007767574120665817,0.06708333333333333,-14.906832298100683,-2.9617365710080943,0.0,0.0
2024.01.05 00:48:32,8.0,XAUUSDc,buy,17.51 / 17.51,0.0,2044.323,2045.655,2024.01.05 00:48:32,filled,Range Breakout Buy,2024-01-05 00:48:32,8.0,XAUUSDc,buy,in,17.51,2044.807,0,0.0,0.0,86.41,Range Breakout Buy,-1.9414285714285715,0.0,-0.9999999822296063,-11.02077645453132,-7.358351598451848,-4.16546196478943,1.0,0.004665675726545723,0.07691428571428571,-13.001485653059518,-3.9617365710080943,0.0,0.0
2024.01.05 00:51:30,9.0,XAUUSDc,sell,17.51 / 17.51,0.0,,,2024.01.05 00:51:30,filled,sl 2044.323,2024-01-05 00:51:30,9.0,XAUUSDc,sell,out,17.51,2044.308,0,0.0,-8.74,77.67,sl 2044.323,-2.79125,0.0,-0.9999999999999601,-8.626773929583448,-4.478280340349128,-3.050025172685888,1.0,0.0023496821189841195,0.0952125,-10.502822633582356,-3.411106135244067,0.0,0.0
2024.01.09 00:03:31,10.0,XAUUSDc,buy,7.37 / 7.37,0.0,2031.095,2033.939,2024.01.09 00:03:31,filled,Range Breakout Buy,2024-01-09 00:03:31,10.0,XAUUSDc,buy,in,7.37,2031.796,0,0.0,0.0,77.67,Range Breakout Buy,-2.481111111111111,0.0,-0.9999982651755946,-7.562659892821201,-4.478272571319278,-2.5208866309404003,1.0,0.0015578561840697681,0.10944444444444444,-9.137039986375992,-4.411106135244067,0.0,0.0
2024.01.09 00:19:30,11.0,XAUUSDc,sell,7.37 / 7.37,0.0,,,2024.01.09 00:19:30,filled,tp 2033.939,2024-01-09 00:19:30,11.0,XAUUSDc,sell,out,7.37,2033.971,0,0.0,16.03,93.7,tp 2033.939,-0.6299999999999997,0.7178683385579938,-0.9669678019561296,-7.613020577877814,-4.330352897250917,-2.407448489982518,1.0,0.447895623337511,0.1048,-9.226792003398183,-16.634920634920643,1.834096109839817,0.7178683385579938
