7_layer_output_rolling_Sharpe_Ratio,7_layer_output_rolling_Sortino_Ratio,7_layer_output_rolling_Calmar_Ratio,7_layer_output_rolling_Stability,7_layer_output_rolling_Recovery_Factor,7_layer_output_rolling_Omega_Ratio,7_layer_output_rolling_Skewness,7_layer_output_rolling_Kurtosis,7_layer_output_rolling_Tail_Ratio,7_layer_output_rolling_Alpha,7_layer_output_rolling_Beta,7_layer_output_rolling_Common_Sense_Ratio,7_layer_output_rolling_Volatility,7_layer_output_rolling_Kelly_Criterion,7_layer_output_rolling_SQN_System_Quality_Number,7_layer_output_rolling_K_Ratio,7_layer_output_rolling_R_Squared,7_layer_output_rolling_CPC_Index,7_layer_output_rolling_VaR_Value_at_Risk,7_layer_output_rolling_CVaR_Conditional_Value_at_Risk,7_layer_output_rolling_Return_Standard_Deviation,7_layer_output_rolling_AHPR_Average_Holding_Period_Return,7_layer_output_rolling_GHPR_Geometric_Holding_Period_Return,7_layer_output_rolling_Drawdown_Duration,7_layer_output_rolling_Max_Drawdown_Duration,7_layer_output_rolling_TWR_Time_Weighted_Return,7_layer_output_rolling_MWR_Money_Weighted_Return,7_layer_output_rolling_Ulcer_Index,7_layer_output_rolling_MAE_Max_Adverse_Excursion,7_layer_output_rolling_MFE_Max_Favorable_Excursion,7_layer_output_rolling_MAR_Ratio,7_layer_output_rolling_Information_Ratio,7_layer_output_rolling_Treynor_Ratio,7_layer_output_rolling_Tracking_Error,7_layer_output_rolling_Active_Share
0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,,0.0,,,,,,,
-0.7071067811865476,,-25.25252525252529,,-1.0000000000000016,0.0,,,,,,,0.0280014285349872,,-1.0,,,,,,0.0280014285349872,0.9802,0.98,3836.0,3836.0,-0.0395999999999999,,0.0280014285349872,,,-25.25252525252529,,,,
-0.5773502691896257,,-25.25251946932041,0.7499999999999999,-1.0000000000000016,0.0,-0.7071067811865476,-1.5,,,,,0.0228630706599091,,-1.0,-1.7320508075688767,,,,,0.0228630706599091,0.9868,0.9866218224890848,83340.0,83340.0,-0.0395999999999999,,0.0323332646047379,,,-25.25251946932041,,,,
-0.8408277160928941,-2.027209363959345,-10.672358591248656,0.8858672533649576,-0.9999999999999996,0.0,-0.1670295140628422,-1.7804853380570025,,,,,0.0285226966557692,,-1.6920056934127718,-4.0093901645594565,,,,,0.0285226966557692,0.9760173261141192,0.9757037968345444,87176.0,87176.0,-0.0937,,0.0545802390980472,,,-10.672358591248656,,,,
-0.712461034841059,-1.621767491167476,-10.67235843057228,0.8995794287747092,-0.9999999999999996,0.0,-0.5520087290182972,-1.5240913763438406,,,,,0.026929387251311,,-1.6013491416014345,-5.194797835481614,,,,,0.026929387251311,0.9808138608912952,0.9805153478488268,172260.0,172260.0,-0.0937,,0.0643361484703584,,,-10.67235843057228,,,,
-0.8943934222272443,-2.8257610918517315,-7.358351729194576,0.9416623481960338,-0.9999999999999998,0.0,-0.1200738640722603,-1.8339481072228443,,,,,0.0265531253274449,,-2.193873957882683,-8.11060111662185,,,,,0.0265531253274449,0.9762510593675576,0.9759494736706844,172316.0,172316.0,-0.1359,,0.0807924398278287,,,-7.358351729194576,,,,
-0.7875296134735343,-2.422080935872913,-7.3583515968448445,0.9444995746871052,-0.9999999999999998,0.0,-0.3954951182766851,-1.7060903522396027,,,,,0.0258482150760313,,-2.0861715525684645,-9.075705078524406,,,,,0.0258482150760313,0.9796437651721922,0.9793495204872602,258298.0,258298.0,-0.1359,,0.0907377067627975,,,-7.3583515968448445,,,,
-0.8172908397452069,-1.0999416905860029,-4.478280340349124,0.9119296264269264,-1.0000000000000002,0.0,-0.774899737569207,-0.549795874556898,,,,,0.0372632563396422,,-2.3832183332542143,-8.714449946758732,,,,,0.0372632563396422,0.9695450819345328,0.968906039799027,258476.0,258476.0,-0.2232999999999999,,0.115918187744633,,,-4.478280340349124,,,,
-0.7456603792860145,-0.977725947187558,-4.478272500462095,0.9382322512465834,-1.0000000000000002,0.0,-0.946705081629065,-0.2724502178545669,,,,,0.0363047830251304,,-2.300591599735342,-11.320397147053916,,,,,0.0363047830251304,0.9729289617195848,0.9723126203135928,601197.0,601197.0,-0.2232999999999999,,0.1322283798752917,,,-4.478272500462095,,,,
-0.0457801379021625,-0.1345481063111405,-4.330007201070076,0.497902628787346,-0.2821316614420063,0.7178683385579938,1.756463629947146,2.7766295367292795,,,,,0.0813744873067912,-0.2134279475982532,-0.3018162097856292,-2.878011622944294,,0.2061339806016058,,,0.0813744873067912,0.9962746647493772,0.9935139263009451,602156.0,602156.0,-0.0629999999999999,,0.1270149991142778,,,-4.330007201070076,,,,
-0.0438649048525115,-0.1223164602828549,-4.2475704385693165,0.2630261686488315,-0.2821316614420063,0.7178683385579938,1.8278196796665316,3.317840355802902,1.310583661441155,,,0.9408265155800142,0.0772067880015719,-0.2256847955537911,-0.3031972454881396,-1.8353648806867489,,0.1873945278196416,-0.0787381981363029,-0.1011457007290822,0.0772067880015719,0.996613331590343,0.9941018268556968,691917.0,691917.0,-0.0629999999999999,,0.1225847017001268,,,-4.2475704385693165,,,,
-0.1247252608854445,-0.380963997696784,-4.472416124192581,0.2586178309867274,-0.607254814151366,0.5417370733355864,1.8577891151204209,3.5300219668580057,1.0538226193698224,,,0.5708947816322492,0.0766582721255851,-0.2550842170929506,-0.6235555744887956,-1.932337440630126,,0.1222829402609194,-0.0881302931829429,-0.1011457007290822,0.0766582721255851,0.990438777010109,0.9879301278555136,692276.0,692276.0,-0.1355999999999999,,0.1237216162735248,,,-4.472416124192581,,,,
-0.1201720055701308,-0.3516590747970314,-4.466444517267968,0.2526495298110524,-0.607254814151366,0.5417370733355864,1.8987885192021572,3.9759647002294463,0.9494787197532544,,,0.5143678228335474,0.0734425980201382,-0.2638610297998943,-0.6248830785543626,-2.0104055280974946,,0.1128765602408486,-0.0869470743151121,-0.1011457007290822,0.0734425980201382,0.9911742557016392,0.9888533848723506,774178.0,774178.0,-0.1355999999999999,,0.1246755234753243,,,-4.466444517267968,,,,
-0.1912955380880236,-0.5957156514354158,-4.477903887771873,0.344189416591043,-0.9216300940438872,0.4378585086042065,1.9105677189689596,4.106325067988355,0.8190936631555042,,,0.3586471297564254,0.0731654275081581,-0.282023289665211,-0.9168608420693184,-2.586553194339656,,0.0821657458101857,-0.0881890563380108,-0.1011457007290822,0.0731654275081581,0.9860037801753866,0.983676133633858,774356.0,774356.0,-0.2057999999999998,,0.1321323632898898,,,-4.477903887771873,,,,
-0.1850393969801614,-0.5560012746730547,-4.46737922370327,0.4142257768704999,-0.9216300940438872,0.4378585086042065,1.9293879792971824,4.467480701034602,0.7101055106054796,,,0.3109257398253439,0.0705965254759938,-0.2885977680737506,-0.9172338160237132,-3.1042296252694817,,0.07668802942284,-0.0871923913848514,-0.1011457007290822,0.0705965254759938,0.9869368614970274,0.9847560527307644,1207439.0,1207439.0,-0.2057999999999998,,0.1382700497818188,,,-4.46737922370327,,,,
0.0211312639792429,0.0816565951904214,-2.193182706474663,0.1796283264936111,-0.115539632781012,0.9295274515159792,1.5957288123209352,1.7291683001078058,2.453141164875665,,,2.2802620551958177,0.0907898996742946,-0.1887795082770104,-0.0871473855460767,-1.7643897638810646,,0.3240079811706717,-0.0861957264316921,-0.1011457007290822,0.0907898996742946,1.0019185053366666,0.9983676676054826,1225136.0,1225136.0,-0.0257999999999998,,0.134034683011525,,,-2.193182706474663,,,,
0.0205402069347916,0.0768532660615731,-2.111118609798967,0.0657690490309357,-0.115539632781012,0.9295274515159792,1.6487396368218556,2.033176204756381,2.469950050485958,,,2.295886375799977,0.0879081738222412,-0.1987692520440441,-0.0873167953049404,-1.0228035899435304,,0.3049486881606322,-0.0851990614785327,-0.1011457007290822,0.0879081738222412,1.0018056520815686,0.9984636133575364,1292937.0,1292937.0,-0.0257999999999998,,0.1301832147850279,,,-2.111118609798967,,,,
-0.0155875759353668,-0.0613505424274426,-3.880912614712269,0.03747495397097,-0.3551276309896999,0.8110104861773118,1.7314353312637687,2.339945841372168,2.4871568541575115,,,2.0171102894895165,0.0863250520408479,-0.2020392837319078,-0.2647661132649683,-0.7964806094098716,,0.2557870033792731,-0.0842023965253734,-0.1011457007290822,0.0863250520408479,0.9986544016961888,0.9954204610637448,1293416.0,1293416.0,-0.0792999999999998,,0.1278885951825954,,,-3.880912614712269,,,,
-0.0151951971069291,-0.0581215665102088,-3.7207830559202906,0.0197288997039285,-0.3551276309896999,0.8110104861773118,1.7762428757589177,2.630290137262442,2.5047758750610103,,,2.0313995001984315,0.0838934389256076,-0.2099474369143547,-0.26514688017575,-0.6019655840184351,,0.2423245295172061,-0.0832057315722141,-0.1011457007290822,0.0838934389256076,0.9987252226595474,0.9956609657346284,1466277.0,1466277.0,-0.0792999999999998,,0.1258000418374961,,,-3.7207830559202906,,,,
