4_layer_output_rolling_profitable_trade,4_layer_output_rolling_unprofitable_trade,4_layer_output_rolling_winrate,4_layer_output_rolling_gross_profit,4_layer_output_rolling_gross_loss,4_layer_output_rolling_net,4_layer_output_rolling_profit_factor,4_layer_output_rolling_balance_drawdown_absolute,4_layer_output_rolling_balance_drawdown_maximal,4_layer_output_rolling_balance_drawdown_relative,4_layer_output_rolling_total_deals,4_layer_output_rolling_win_count,4_layer_output_rolling_lose_count,4_layer_output_rolling_total_trades,4_layer_output_rolling_average_profit,4_layer_output_rolling_average_loss,4_layer_output_rolling_expected_payoff,4_layer_output_rolling_LR_correlation,4_layer_output_rolling_long_trades_won,4_layer_output_rolling_short_trades_won,4_layer_output_rolling_largest_profit_trade,4_layer_output_rolling_largest_loss_trade,4_layer_output_rolling_maximum_consecutive_wins,4_layer_output_rolling_maximum_consecutive_loses,4_layer_output_rolling_maximal_consecutive_profit,4_layer_output_rolling_maximal_consecutive_loss,4_layer_output_rolling_average_consecutive_wins,4_layer_output_rolling_average_consecutive_loses,5_layer_output_rolling_Expectancy_Expectancy,5_layer_output_rolling_GPR_GainToPainRatio,5_layer_output_rolling_CAGR_CompoundAnnualGrowthRate,5_layer_output_rolling_Martin_MartinRatio,5_layer_output_rolling_Sterling_SterlingRatio,5_layer_output_rolling_Burke_BurkeRatio,5_layer_output_rolling_RoR_RiskOfRuin,5_layer_output_rolling_DSR_DeflatedSharpeRatio,5_layer_output_rolling_PainIndex_PainIndex,5_layer_output_rolling_PainRatio_PainRatio,5_layer_output_rolling_Lake_LakeRatio,5_layer_output_rolling_OWLR_OutlierWinLossRatio,5_layer_output_rolling_PI_ProfitabilityIndex
2,15,0.1176470588235294,34.03,-69.41,-35.379999999999995,0.4902751764875379,35.379999999999995,35.379999999999995,35.379999999999995,35,2,15,17,17.015,-4.6273333333333335,-2.081176470588235,-0.755547793620135,1,1,18.0,-8.74,1.0,9.0,18.0,-32.8,1.0,5.0,-1.010857142857143,0.4902751764875379,-0.9908727733830612,-5.139903675282537,-2.800657923637821,-0.8688022920119551,1.0,0.2154659496880322,0.1641828571428571,-6.035178036406644,-16.241944601469758,2.059496567505721,0.4902751764875379
2,16,0.1111111111111111,34.03,-71.61,-37.58,0.4752129590839268,37.58,37.58,37.58,36,2,16,18,17.015,-4.475625,-2.0877777777777777,-0.7776503010187031,1,1,18.0,-8.74,1.0,10.0,18.0,-35.0,1.0,5.333333333333333,-1.0438888888888889,0.4752129590839268,-0.9937110290911184,-4.965150082162036,-2.644255000242466,-0.8275250136936727,1.0,0.1993018755631988,0.1700611111111111,-5.8432584769005045,-16.291112293773285,2.059496567505721,0.4752129590839268
2,16,0.1111111111111111,34.03,-71.61,-37.58,0.4752129590839268,37.58,37.58,37.58,37,2,16,18,17.015,-4.475625,-2.0877777777777777,-0.7964699312082179,1,1,18.0,-8.74,1.0,10.0,18.0,-35.0,1.0,5.333333333333333,-1.0156756756756755,0.4752129590839268,-0.9927282506815548,-4.799137139562114,-2.641639836832238,-0.7889732856835405,1.0,0.1988795635477432,0.1756216216216216,-5.652653935859885,-17.291112293773285,2.059496567505721,0.4752129590839268
2,17,0.1052631578947368,34.03,-77.07,-43.04,0.441546645906319,43.04,43.04,43.04,38,2,17,19,17.015,-4.533529411764706,-2.265263157894737,-0.8138574296324607,1,1,18.0,-8.74,1.0,11.0,18.0,-40.46,1.0,5.666666666666667,-1.1326315789473684,0.441546645906319,-0.9972041777343836,-4.622533211336871,-2.3169242047731964,-0.7498739067672147,1.0,0.16370502758184,0.1823263157894736,-5.469337618195628,-16.09758364312268,2.059496567505721,0.441546645906319
2,17,0.1052631578947368,34.03,-77.07,-43.04,0.441546645906319,43.04,43.04,43.04,39,2,17,19,17.015,-4.533529411764706,-2.265263157894737,-0.8292592262215394,1,1,18.0,-8.74,1.0,11.0,18.0,-40.46,1.0,5.666666666666667,-1.1035897435897437,0.441546645906319,-0.9961596940266068,-4.450752797229799,-2.3144974303592165,-0.7126908284632351,1.0,0.1632342279919226,0.1886871794871794,-5.279424371777691,-17.097583643122675,2.059496567505721,0.441546645906319
3,17,0.15,43.81,-77.07,-33.26,0.5684442714415467,43.04,43.04,43.04,40,3,17,20,14.603333333333332,-4.533529411764706,-1.6629999999999998,-0.8346940072705504,1,2,18.0,-8.74,1.0,11.0,18.0,-40.46,1.0,5.666666666666667,-0.8314999999999999,0.5684442714415467,-0.9815340212908092,-4.320635543489965,-2.280515848723999,-0.683152462845389,1.0,0.2584896548753462,0.1922849999999999,-5.104579251063834,-23.1250751653638,2.059496567505721,0.5684442714415467
3,17,0.15,43.81,-77.07,-33.26,0.5684442714415467,43.04,43.04,43.04,41,3,17,20,14.603333333333332,-4.533529411764706,-1.6629999999999998,-0.8390887027123802,1,2,18.0,-8.74,1.0,11.0,18.0,-40.46,1.0,5.666666666666667,-0.8112195121951219,0.5684442714415467,-0.979526381191066,-4.252897349777199,-2.2758512574141867,-0.6641909780407881,1.0,0.2582727001362763,0.1957073170731707,-5.005057531011179,-24.1250751653638,2.059496567505721,0.5684442714415467
3,18,0.1428571428571428,43.81,-78.13999999999999,-34.33,0.5606603532121834,43.04,43.04,43.04,42,3,18,21,14.603333333333332,-4.34111111111111,-1.6347619047619046,-0.844109553144507,1,2,18.0,-8.74,1.0,11.0,18.0,-40.46,1.0,4.5,-0.8173809523809523,0.5606603532121833,-0.9824723388085032,-4.20496925965366,-2.2826959544807237,-0.6488408432521772,1.0,0.2491622464565626,0.1992214285714285,-4.931559550865528,-24.37314302359453,2.059496567505721,0.5606603532121833
3,18,0.1428571428571428,43.81,-78.13999999999999,-34.33,0.5606603532121834,43.04,43.04,43.04,43,3,18,21,14.603333333333332,-4.34111111111111,-1.6347619047619046,-0.848194133850351,1,2,18.0,-8.74,1.0,11.0,18.0,-40.46,1.0,4.5,-0.7983720930232557,0.5606603532121833,-0.9757343300310648,-4.120967426125558,-2.26704072962608,-0.6284416408713812,1.0,0.2489532367709607,0.2025720930232558,-4.816726309477623,-25.373143023594523,2.059496567505721,0.5606603532121833
3,19,0.1363636363636363,43.81,-82.22999999999999,-38.42,0.5327739267907091,43.04,43.04,43.04,44,3,19,22,14.603333333333332,-4.327894736842104,-1.7463636363636363,-0.8560125112755824,1,2,18.0,-8.74,1.0,11.0,18.0,-40.46,1.0,4.75,-0.8731818181818182,0.532773926790709,-0.9862448537604676,-4.090149679607902,-2.2914610914509006,-0.6166132647114437,1.0,0.2175321899341828,0.2067,-4.771382940302214,-23.67204580947423,2.059496567505721,0.532773926790709
3,19,0.1363636363636363,43.81,-82.22999999999999,-38.42,0.5327739267907091,43.04,43.04,43.04,45,3,19,22,14.603333333333332,-4.327894736842104,-1.7463636363636363,-0.8626791354000256,1,2,18.0,-8.74,1.0,11.0,18.0,-40.46,1.0,4.75,-0.8537777777777779,0.532773926790709,-0.983766041641906,-4.011853611574256,-2.2857017696140938,-0.5980518260838714,1.0,0.2172995943780887,0.2106444444444444,-4.670268158443482,-24.67204580947423,2.059496567505721,0.532773926790709
3,20,0.1304347826086956,43.81,-83.49999999999999,-39.690000000000005,0.5246706586826348,43.04,43.04,43.04,46,3,20,23,14.603333333333332,-4.174999999999999,-1.7256521739130437,-0.8694015331482982,1,2,18.0,-8.74,1.0,11.0,18.0,-40.46,1.0,5.0,-0.8628260869565217,0.5246706586826347,-0.986378576218718,-3.953502323220185,-2.2917717848947907,-0.5829121161985145,1.0,0.2074341979387811,0.2146934782608695,-4.594357426266065,-24.88259007306626,2.059496567505721,0.5246706586826347
3,20,0.1304347826086956,43.81,-83.49999999999999,-39.690000000000005,0.5246706586826348,43.04,43.04,43.04,47,3,20,23,14.603333333333332,-4.174999999999999,-1.7256521739130437,-0.8751427667848998,1,2,18.0,-8.74,1.0,11.0,18.0,-40.46,1.0,5.0,-0.8444680851063829,0.5246706586826347,-0.9834651166006608,-3.8791629563399694,-2.28500259433239,-0.565834071645477,1.0,0.2072077744107374,0.2185702127659574,-4.499538634085259,-25.88259007306626,2.059496567505721,0.5246706586826347
3,21,0.125,43.81,-85.37999999999998,-41.57000000000001,0.5131178261888031,43.04,43.04,43.04,48,3,21,24,14.603333333333332,-4.065714285714285,-1.7320833333333336,-0.8813740832108969,1,2,18.0,-8.74,1.0,11.0,18.0,-40.46,1.0,5.25,-0.8660416666666667,0.5131178261888031,-0.9872079471983406,-3.827191222604706,-2.2936987620779288,-0.55240747065275,1.0,0.1932887165891638,0.2226770833333333,-4.433361226132792,-25.712051960548465,2.059496567505721,0.5131178261888031
3,21,0.125,43.81,-85.37999999999998,-41.57000000000001,0.5131178261888031,43.04,43.04,43.04,49,3,21,24,14.603333333333332,-4.065714285714285,-1.7320833333333336,-0.8867328103016415,1,2,18.0,-8.74,1.0,11.0,18.0,-40.46,1.0,5.25,-0.8483673469387755,0.5131178261888031,-0.9832767424254022,-3.751302989413511,-2.2845649219921054,-0.535900427059073,1.0,0.1930619569413836,0.2266163265306122,-4.338949260536077,-26.712051960548468,2.059496567505721,0.5131178261888031
3,22,0.12,43.81,-87.43999999999998,-43.63000000000001,0.5010292772186643,43.63,43.63,43.63,50,3,22,25,14.603333333333332,-3.9745454545454537,-1.7452000000000003,-0.8925206928017809,1,2,18.0,-8.74,1.0,11.0,18.0,-40.46,1.0,5.5,-0.8726,0.5010292772186643,-0.9872666144342817,-3.701553069108392,-2.262815985409768,-0.5234786552176843,1.0,0.1784795008635459,0.23081,-4.277399655276121,-26.450836580334624,2.059496567505721,0.5010292772186643
3,22,0.12,43.81,-87.43999999999998,-43.63000000000001,0.5010292772186643,43.63,43.63,43.63,51,3,22,25,14.603333333333332,-3.9745454545454537,-1.7452000000000003,-0.8975382948207271,1,2,18.0,-8.74,1.0,11.0,18.0,-40.46,1.0,5.5,-0.8554901960784315,0.5010292772186643,-0.9861020345121382,-3.637897846924981,-2.2601467671605278,-0.5094075902777428,1.0,0.178250970631863,0.2348392156862745,-4.199051813516052,-27.450836580334627,2.059496567505721,0.5010292772186643
